sample,light,shaken,height
48,low,yes,13.47758145
49,low,yes,11.54051608
50,low,yes,11.09278421
51,low,yes,10.8182615
52,low,yes,14.1849161
53,low,yes,15.34964957
54,low,yes,20.94541386
55,low,yes,16.45220237
56,low,yes,15.10606789
57,low,yes,16.12064828
58,low,yes,17.76194887
59,low,yes,14.63211052
60,low,yes,14.39279249
61,low,yes,12.68309627
62,low,yes,14.19975372
63,low,yes,10.88643715
64,low,yes,15.55639813
65,low,yes,11.56243312
66,low,yes,8.583053551
67,low,yes,14.7121574
68,low,yes,9.641532541
69,low,yes,11.88235274
70,low,yes,16.16575725
71,low,yes,15.53643226
72,low,yes,14.33352531
73,low,yes,15.17930538
74,low,yes,14.09115671
75,low,yes,12.07416363
76,low,yes,12.3119953
77,low,yes,14.3441121
78,low,yes,10.47374674
79,low,yes,10.88499166
80,low,yes,14.26919633
81,low,yes,11.83244817
82,low,yes,13.75454831
83,low,yes,13.94542216
84,low,yes,13.21619951
85,low,yes,13.45445731
86,low,yes,16.12030015
87,low,yes,11.52861806
88,low,yes,10.93922881
89,low,yes,15.67976582
90,low,yes,15.47227733
91,low,yes,14.67000275
92,low,yes,14.07524625
93,low,yes,16.02457415
94,low,yes,13.15724585
95,low,yes,14.50778582
96,low,yes,11.83416407
97,low,yes,12.67489867
98,low,yes,13.5863503
99,low,yes,13.85922053
100,low,yes,9.398363043
1,high,yes,17.02352247
2,high,yes,19.56492421
3,high,yes,19.56040249
4,high,yes,18.96325577
5,high,yes,18.91524151
6,high,yes,18.37401216
7,high,yes,16.55759994
8,high,yes,17.97905697
9,high,yes,16.9109882
10,high,yes,18.33677717
11,high,yes,15.04413028
12,high,yes,19.42646353
13,high,yes,16.30941738
14,high,yes,19.03742712
15,high,yes,19.50121878
16,high,yes,19.1295145
17,high,yes,17.17584895
18,high,yes,16.12601463
19,high,yes,17.71873431
20,high,yes,18.92383467
21,high,yes,17.24658744
22,high,yes,16.71859471
23,high,yes,17.62200786
24,high,yes,18.0827987
25,high,yes,17.66490168
26,high,yes,16.53557785
27,high,yes,19.1262277
28,high,yes,19.22252098
29,high,yes,20.39220519
30,high,yes,15.11125026
31,high,yes,16.07849702
32,high,yes,16.12752902
33,high,yes,18.46041164
34,high,yes,18.00958223
35,high,yes,20.15231181
36,high,yes,17.47954841
37,high,yes,20.3322646
38,high,yes,18.74730734
39,high,yes,21.90001036
40,high,yes,15.10568131
41,high,yes,17.13874847
42,high,yes,16.86609759
43,high,yes,16.75872707
44,high,yes,15.74057471
45,high,yes,17.99402751
46,high,yes,18.97758336
47,high,yes,15.07889363
48,high,yes,13.03733044
49,high,yes,17.56877944
50,high,yes,20.13177066
51,high,yes,18.1404075
52,high,yes,18.05026947
53,high,yes,14.57095135
54,high,yes,15.68155698
55,high,yes,18.30616703
56,high,yes,18.5196752
57,high,yes,17.38688998
58,high,yes,18.99902129
59,high,yes,19.16885448
60,high,yes,19.02729349
61,high,yes,16.75813794
62,high,yes,15.47258624
63,high,yes,16.61210319
64,high,yes,21.00943886
65,high,yes,20.76522833
66,high,yes,15.85185036
67,high,yes,15.97613593
68,high,yes,16.59321243
69,high,yes,18.77358664
70,high,yes,19.72926709
71,high,yes,18.36976921
72,high,yes,17.70369028
73,high,yes,18.0236834
74,high,yes,18.93546185
75,high,yes,16.20712686
76,high,yes,17.62333937
77,high,yes,16.40347705
78,high,yes,17.27332604
79,high,yes,20.21877393
80,high,yes,16.18164419
81,high,yes,19.79721147
82,high,yes,17.01168528
83,high,yes,20.61976755
84,high,yes,17.36010332
85,high,yes,16.57690586
86,high,yes,18.47038512
87,high,yes,14.97372939
88,high,yes,19.6873524
89,high,yes,20.75014496
90,high,yes,14.26047319
91,high,yes,15.22696667
92,high,yes,18.54949005
93,high,yes,15.77234844
94,high,yes,18.27732551
95,high,yes,18.92260592
96,high,yes,20.78443771
97,high,yes,17.64453532
98,high,yes,18.6836275
99,high,yes,17.41457028
100,high,yes,18.78656485
